# lambda	flux
 365.26143646 1e-24
 366.26143646 1e-24
 367.26143646 1e-24
 368.26143646 1e-24
 369.26143646 1e-24
 370.26143646 1e-24
 371.26143646 1e-24
 372.26143646 1e-24
 373.26143646 1e-24
 374.26143646 1e-24
 375.26143646 1e-24
 376.26143646 1e-24
 377.26143646 1e-24
 378.26143646 1e-24
 379.26143646 1e-24
 380.26143646 1e-24
 381.26143646 1e-24
 382.26143646 1e-24
 383.26143646 1e-24
 384.26143646 1e-24
 385.26143646 1e-24
 386.26143646 1e-24
 387.26143646 1e-24
 388.26143646 1e-24
 389.26143646 1e-24
 390.26143646 1e-24
 391.26143646 1e-24
 392.26143646 1e-24
 393.26143646 1e-24
 394.26143646 1e-24
 395.26143646 1e-24
 396.26143646 1e-24
 397.26143646 1e-24
 398.26143646 1e-24
 399.26143646 1e-24
 400.26143646 1e-24
 401.26143646 1e-24
 402.26143646 1e-24
 403.26143646 1e-24
 404.26143646 1e-24
 405.26143646 1e-24
 406.26143646 1e-24
 407.26143646 1e-24
 408.26143646 1e-24
 409.26143646 1e-24
 410.26143646 1e-24
 411.26143646 1e-24
 412.26143646 1e-24
 413.26143646 1e-24
 414.26143646 1e-24
 415.26143646 1e-24
 416.26143646 1e-24
 417.26143646 1e-24
 418.26143646 1e-24
 419.26143646 1e-24
 420.26143646 1e-24
 421.26143646 1e-24
 422.26143646 1e-24
 423.26143646 1e-24
 424.26143646 1e-24
 425.26143646 1e-24
 426.26143646 1e-24
 427.26143646 1e-24
 428.26143646 1e-24
 429.26143646 1e-24
 430.26143646 1e-24
 431.26143646 1e-24
 432.26143646 1e-24
 433.26143646 1e-24
 434.26143646 1e-24
 435.26143646 1e-24
 436.26143646 1e-24
 437.26143646 1e-24
 438.26143646 1e-24
 439.26143646 1e-24
 440.26143646 1e-24
 441.26143646 1e-24
 442.26143646 1e-24
 443.26143646 1e-24
 444.26143646 1e-24
 445.26143646 1e-24
 446.26143646 1e-24
 447.26143646 1e-24
 448.26143646 1e-24
 449.26143646 1e-24
 450.26143646 1e-24
 451.26143646 1e-24
 452.26143646 1e-24
 453.26143646 1e-24
 454.26143646 1e-24
 455.26143646 1e-24
 456.26143646 1e-24
 457.26143646 1.08896986593e-23
 458.26143646 3.97208812965e-23
 459.26143646 7.52005959967e-23
 460.26143646 9.50241686768e-23
 461.26143646 8.04457867058e-23
 462.26143646 1.17182465875e-22
 463.26143646 2.79008545194e-22
 464.26143646 3.07486496521e-22
 465.26143646 1.72276002384e-22
 466.26143646 1.0363300423e-22
 467.26143646 1.01816635987e-21
 468.26143646 1.11970583145e-20
 469.26143646 4.03839497479e-20
 470.26143646 9.60019101227e-20
 471.26143646 1.80643744893e-19
 472.26143646 2.8979828975e-19
 473.26143646 4.10834772359e-19
 474.26143646 5.15912873771e-19
 475.26143646 5.74379987849e-19
 476.26143646 5.87328010794e-19
 477.26143646 5.79176294458e-19
 478.26143646 5.96780044021e-19
 479.26143646 7.03681813887e-19
 480.26143646 9.90964121851e-19
 481.26143646 1.45901929758e-18
 482.26143646 1.93906318034e-18
 483.26143646 2.19837368823e-18
 484.26143646 1.98581485625e-18
 485.26143646 1.17023312006e-18
 486.26143646 6.97311593072e-20
 487.26143646 1e-24
 488.26143646 3.06621096378e-19
 489.26143646 6.1505374338e-18
 490.26143646 2.20309858974e-17
 491.26143646 5.20895978134e-17
 492.26143646 1.03459470241e-16
 493.26143646 1.89827034626e-16
 494.26143646 3.13917241873e-16
 495.26143646 4.81219050701e-16
 496.26143646 6.95380883302e-16
 497.26143646 9.57714865665e-16
 498.26143646 1.26716310824e-15
 499.26143646 1.62312619674e-15
 500.26143646 2.00176477635e-15
 501.26143646 2.38727867928e-15
 502.26143646 2.76204420872e-15
 503.26143646 3.10755655694e-15
 504.26143646 3.40541538079e-15
 505.26143646 3.62177837656e-15
 506.26143646 3.76049527917e-15
 507.26143646 3.82745022137e-15
 508.26143646 3.83651605956e-15
 509.26143646 3.81128298137e-15
 510.26143646 3.78524952696e-15
 511.26143646 3.82620187029e-15
 512.26143646 4.002448187e-15
 513.26143646 4.3654336188e-15
 514.26143646 4.96045898135e-15
 515.26143646 5.8182554722e-15
 516.26143646 6.94988217302e-15
 517.26143646 8.36365886691e-15
 518.26143646 9.93530987699e-15
 519.26143646 1.1506151997e-14
 520.26143646 1.29045585121e-14
 521.26143646 1.39326365657e-14
 522.26143646 1.43751807242e-14
 523.26143646 1.38819559294e-14
 524.26143646 1.22104277907e-14
 525.26143646 9.43340510516e-15
 526.26143646 5.6669976797e-15
 527.26143646 1.99648028667e-15
 528.26143646 1e-24
 529.26143646 1e-24
 530.26143646 1e-24
 531.26143646 1e-24
 532.26143646 5.71985221965e-15
 533.26143646 2.22030857116e-14
 534.26143646 5.27965534872e-14
 535.26143646 9.99594384284e-14
 536.26143646 1.72034984726e-13
 537.26143646 2.70724794457e-13
 538.26143646 4.00969596104e-13
 539.26143646 5.67954633804e-13
 540.26143646 7.77057701471e-13
 541.26143646 1.03494527509e-12
 542.26143646 1.36005052941e-12
 543.26143646 1.74702436869e-12
 544.26143646 2.20062968934e-12
 545.26143646 2.7250745452e-12
 546.26143646 3.3239008313e-12
 547.26143646 3.99987316835e-12
 548.26143646 4.77287013312e-12
 549.26143646 5.62535185271e-12
 550.26143646 6.55410218177e-12
 551.26143646 7.55548312777e-12
 552.26143646 8.62443578683e-12
 553.26143646 9.75446399268e-12
 554.26143646 1.09448445079e-11
 555.26143646 1.21734484144e-11
 556.26143646 1.34256032039e-11
 557.26143646 1.46878763302e-11
 558.26143646 1.59459282961e-11
 559.26143646 1.71846712137e-11
 560.26143646 1.83788388786e-11
 561.26143646 1.95093381932e-11
 562.26143646 2.05644230302e-11
 563.26143646 2.15305866192e-11
 564.26143646 2.2395954566e-11
 565.26143646 2.3150639856e-11
 566.26143646 2.37713898614e-11
 567.26143646 2.42570173284e-11
 568.26143646 2.46247915616e-11
 569.26143646 2.48828827643e-11
 570.26143646 2.50438634806e-11
 571.26143646 2.51248694671e-11
 572.26143646 2.51463022795e-11
 573.26143646 2.51505500444e-11
 574.26143646 2.51835966888e-11
 575.26143646 2.52878020107e-11
 576.26143646 2.55094032124e-11
 577.26143646 2.58980826858e-11
 578.26143646 2.65252029468e-11
 579.26143646 2.7502532426e-11
 580.26143646 2.88451508968e-11
 581.26143646 3.06056726179e-11
 582.26143646 3.2832899359e-11
 583.26143646 3.55705925605e-11
 584.26143646 3.88734121749e-11
 585.26143646 4.28798284472e-11
 586.26143646 4.74765328477e-11
 587.26143646 5.26524609178e-11
 588.26143646 5.83814750236e-11
 589.26143646 6.46215075137e-11
 590.26143646 7.13137274658e-11
 591.26143646 7.84281433244e-11
 592.26143646 8.57378646598e-11
 593.26143646 9.31045881877e-11
 594.26143646 1.00374835707e-10
 595.26143646 1.07379992011e-10
 596.26143646 1.13937657072e-10
 597.26143646 1.19654461891e-10
 598.26143646 1.24365967938e-10
 599.26143646 1.27892047171e-10
 600.26143646 1.30034873452e-10
 601.26143646 1.30609384827e-10
 602.26143646 1.2944805457e-10
 603.26143646 1.26062483389e-10
 604.26143646 1.20533389343e-10
 605.26143646 1.12992208503e-10
 606.26143646 1.03498468107e-10
 607.26143646 9.21796432965e-11
 608.26143646 7.92375721135e-11
 609.26143646 6.4862474521e-11
 610.26143646 4.97505434298e-11
 611.26143646 3.4658217002e-11
 612.26143646 2.03309540263e-11
 613.26143646 8.09615450681e-12
 614.26143646 1e-24
 615.26143646 1e-24
 616.26143646 1e-24
 617.26143646 3.97734040011e-12
 618.26143646 1.92031292335e-11
 619.26143646 4.85003405173e-11
 620.26143646 9.12508888314e-11
 621.26143646 1.51078325019e-10
 622.26143646 2.33398112404e-10
 623.26143646 3.38259999176e-10
 624.26143646 4.685677158e-10
 625.26143646 6.27363081718e-10
 626.26143646 8.17822224036e-10
 627.26143646 1.04477545139e-09
 628.26143646 1.31956469106e-09
 629.26143646 1.63873980045e-09
 630.26143646 2.00608930518e-09
 631.26143646 2.42548761313e-09
 632.26143646 2.90088688286e-09
 633.26143646 3.43663907093e-09
 634.26143646 4.05334158026e-09
 635.26143646 4.7409567676e-09
 636.26143646 5.50366924992e-09
 637.26143646 6.34566271163e-09
 638.26143646 7.27111051168e-09
 639.26143646 8.28416604987e-09
 640.26143646 9.40989681201e-09
 641.26143646 1.06365306402e-08
 642.26143646 1.19653171769e-08
 643.26143646 1.34000232972e-08
 644.26143646 1.49442949351e-08
 645.26143646 1.6601642305e-08
 646.26143646 1.83972756556e-08
 647.26143646 2.03215588042e-08
 648.26143646 2.23700384086e-08
 649.26143646 2.45452505552e-08
 650.26143646 2.68495048059e-08
 651.26143646 2.92848749325e-08
 652.26143646 3.18730341591e-08
 653.26143646 3.46090408567e-08
 654.26143646 3.74811817087e-08
 655.26143646 4.04901046059e-08
 656.26143646 4.36361637512e-08
 657.26143646 4.69194142415e-08
 658.26143646 5.03550758905e-08
 659.26143646 5.39440063765e-08
 660.26143646 5.76674532099e-08
 661.26143646 6.15238775599e-08
 662.26143646 6.551146146e-08
 663.26143646 6.96281085632e-08
 664.26143646 7.38812855627e-08
 665.26143646 7.82769405192e-08
 666.26143646 8.27914248204e-08
 667.26143646 8.74212707182e-08
 668.26143646 9.21627905992e-08
 669.26143646 9.70120933762e-08
 670.26143646 1.01969716013e-07
 671.26143646 1.07044057379e-07
 672.26143646 1.12210474488e-07
 673.26143646 1.17464304207e-07
 674.26143646 1.22800862545e-07
 675.26143646 1.28215443707e-07
 676.26143646 1.33704230214e-07
 677.26143646 1.39275427651e-07
 678.26143646 1.44907914463e-07
 679.26143646 1.50597465031e-07
 680.26143646 1.56340084705e-07
 681.26143646 1.62132049182e-07
 682.26143646 1.67969944199e-07
 683.26143646 1.73859430665e-07
 684.26143646 1.79789159029e-07
 685.26143646 1.85756435451e-07
 686.26143646 1.9176034868e-07
 687.26143646 1.97800668817e-07
 688.26143646 2.03877667024e-07
 689.26143646 2.10000019824e-07
 690.26143646 2.16165610219e-07
 691.26143646 2.22375922793e-07
 692.26143646 2.28635184558e-07
 693.26143646 2.34948476491e-07
 694.26143646 2.41321788253e-07
 695.26143646 2.47774336377e-07
 696.26143646 2.54313616241e-07
 697.26143646 2.60943725072e-07
 698.26143646 2.67675761066e-07
 699.26143646 2.74521836163e-07
 700.26143646 2.80499388208e-07
 701.26143646 2.7727243482e-07
 702.26143646 2.74045481433e-07
 703.26143646 2.70818528045e-07
 704.26143646 2.67591574657e-07
 705.26143646 2.6436462127e-07
 706.26143646 2.61137667882e-07
 707.26143646 2.57910714494e-07
 708.26143646 2.54683761107e-07
 709.26143646 2.51456807719e-07
 710.26143646 2.48229854331e-07
 711.26143646 2.45002900944e-07
 712.26143646 2.41775947556e-07
 713.26143646 2.38548994168e-07
 714.26143646 2.35322040781e-07
 715.26143646 2.32095087393e-07
 716.26143646 2.28868134005e-07
 717.26143646 2.25641180618e-07
 718.26143646 2.2241422723e-07
 719.26143646 2.19187273842e-07
 720.26143646 2.15960320455e-07
 721.26143646 2.12733367067e-07
 722.26143646 2.09506413679e-07
 723.26143646 2.06279460292e-07
 724.26143646 2.03052506904e-07
 725.26143646 1.99825553517e-07
 726.26143646 1.96598600129e-07
 727.26143646 1.93371646741e-07
 728.26143646 1.90144693354e-07
 729.26143646 1.86917739966e-07
 730.26143646 1.83690786578e-07
 731.26143646 1.80463833191e-07
 732.26143646 1.77236879803e-07
 733.26143646 1.74009926415e-07
 734.26143646 1.70782973028e-07
 735.26143646 1.6755601964e-07
 736.26143646 1.64329066252e-07
 737.26143646 1.61102112865e-07
 738.26143646 1.57875159477e-07
 739.26143646 1.54648206089e-07
 740.26143646 1.51421252702e-07
 741.26143646 1.48194299314e-07
 742.26143646 1.44967345926e-07
 743.26143646 1.41740392539e-07
 744.26143646 1.38513439151e-07
 745.26143646 1.35286485763e-07
 746.26143646 1.32059532376e-07
 747.26143646 1.28832578988e-07
 748.26143646 1.256056256e-07
 749.26143646 1.22378672213e-07
 750.26143646 1.19151718825e-07
 751.26143646 1.15924765437e-07
 752.26143646 1.1269781205e-07
 753.26143646 1.09470858662e-07
 754.26143646 1.06243905274e-07
 755.26143646 1.03016951887e-07
 756.26143646 9.9789998499e-08
 757.26143646 9.65630451113e-08
 758.26143646 9.33360917236e-08
 759.26143646 9.0109138336e-08
 760.26143646 8.68821849483e-08
 761.26143646 8.36552315607e-08
 762.26143646 8.0428278173e-08
 763.26143646 7.72013247853e-08
 764.26143646 7.39743713977e-08
 765.26143646 7.074741801e-08
 766.26143646 6.75204646223e-08
 767.26143646 6.42935112347e-08
 768.26143646 6.1066557847e-08
 769.26143646 5.78396044594e-08
 770.26143646 5.46126510717e-08
 771.26143646 5.1385697684e-08
 772.26143646 4.81587442964e-08
 773.26143646 4.49317909087e-08
 774.26143646 4.1704837521e-08
 775.26143646 3.84778841334e-08
 776.26143646 3.52509307457e-08
 777.26143646 3.20239773581e-08
 778.26143646 2.87970239704e-08
 779.26143646 2.55700705827e-08
 780.26143646 2.23431171951e-08
 781.26143646 1.91161638074e-08
 782.26143646 1.58892104197e-08
 783.26143646 1.26622570321e-08
 784.26143646 9.43530364442e-09
 785.26143646 6.20835025676e-09
 786.26143646 2.9813968691e-09
 787.26143646 1.41556832234e-09
 788.26143646 2.00181003174e-08
 789.26143646 3.86206323125e-08
 790.26143646 5.72231643076e-08
 791.26143646 7.58256963027e-08
 792.26143646 9.44282282978e-08
 793.26143646 1.13030760293e-07
 794.26143646 1.31633292288e-07
 795.26143646 1.50235824283e-07
 796.26143646 1.68838356278e-07
 797.26143646 1.87440888273e-07
 798.26143646 2.06043420268e-07
 799.26143646 2.24645952264e-07
 800.26143646 2.43248484259e-07
 801.26143646 2.61851016254e-07
 802.26143646 2.80453548249e-07
 803.26143646 2.99056080244e-07
 804.26143646 3.17658612239e-07
 805.26143646 3.36261144234e-07
 806.26143646 3.54863676229e-07
 807.26143646 3.73466208224e-07
 808.26143646 3.92068740219e-07
 809.26143646 4.10671272214e-07
 810.26143646 4.2927380421e-07
 811.26143646 4.47876336205e-07
 812.26143646 4.664788682e-07
 813.26143646 4.85081400195e-07
 814.26143646 5.0368393219e-07
 815.26143646 5.22286464185e-07
 816.26143646 5.4088899618e-07
 817.26143646 5.59491528175e-07
 818.26143646 5.7809406017e-07
 819.26143646 5.96696592165e-07
 820.26143646 6.15299124161e-07
 821.26143646 6.33901656156e-07
 822.26143646 6.52504188151e-07
 823.26143646 6.71106720146e-07
 824.26143646 6.89709252141e-07
 825.26143646 7.08311784136e-07
 826.26143646 7.26914316131e-07
 827.26143646 7.45516848126e-07
 828.26143646 7.64119380121e-07
 829.26143646 7.82721912116e-07
 830.26143646 8.01324444111e-07
 831.26143646 8.19926976107e-07
 832.26143646 8.38529508102e-07
 833.26143646 8.57132040097e-07
 834.26143646 8.75734572092e-07
 835.26143646 8.94337104087e-07
 836.26143646 9.12939636082e-07
 837.26143646 9.31542168077e-07
 838.26143646 9.50144700072e-07
 839.26143646 9.68747232067e-07
 840.26143646 9.87349764062e-07
 841.26143646 1.00595229606e-06
 842.26143646 1.02455482805e-06
 843.26143646 1.04315736005e-06
 844.26143646 1.06175989204e-06
 845.26143646 1.08036242404e-06
 846.26143646 1.09896495603e-06
 847.26143646 1.11756748803e-06
 848.26143646 1.13617002002e-06
 849.26143646 1.15477255202e-06
 850.26143646 1.17337508401e-06
 851.26143646 1.19197761601e-06
 852.26143646 1.210580148e-06
 853.26143646 1.22918268e-06
 854.26143646 1.24778521199e-06
 855.26143646 1.26638774399e-06
 856.26143646 1.28499027598e-06
 857.26143646 1.30359280798e-06
 858.26143646 1.32219533997e-06
 859.26143646 1.34079787197e-06
 860.26143646 1.35940040396e-06
 861.26143646 1.37800293596e-06
 862.26143646 1.39660546795e-06
 863.26143646 1.41520799995e-06
 864.26143646 1.43381053194e-06
 865.26143646 1.45241306394e-06
 866.26143646 1.47101559593e-06
 867.26143646 1.48961812793e-06
 868.26143646 1.50822065993e-06
 869.26143646 1.52682319192e-06
 870.26143646 1.54542572392e-06
 871.26143646 1.56402825591e-06
 872.26143646 1.58263078791e-06
 873.26143646 1.6012333199e-06
 874.26143646 1.6198358519e-06
 875.26143646 1.63843838389e-06
 876.26143646 1.65704091589e-06
 877.26143646 1.67564344788e-06
 878.26143646 1.69424597988e-06
 879.26143646 1.71284851187e-06
 880.26143646 1.73145104387e-06
 881.26143646 1.75005357586e-06
 882.26143646 1.76865610786e-06
 883.26143646 1.78725863985e-06
 884.26143646 1.80586117185e-06
 885.26143646 1.82446370384e-06
 886.26143646 1.84306623584e-06
 887.26143646 1.86166876783e-06
 888.26143646 1.88027129983e-06
 889.26143646 1.89887383182e-06
 890.26143646 1.91747636382e-06
