# lambda	flux
 365.27839661 1e-24
 366.27839661 1e-24
 367.27839661 1e-24
 368.27839661 1e-24
 369.27839661 1e-24
 370.27839661 1e-24
 371.27839661 1e-24
 372.27839661 1e-24
 373.27839661 1e-24
 374.27839661 1e-24
 375.27839661 1e-24
 376.27839661 1e-24
 377.27839661 1e-24
 378.27839661 1e-24
 379.27839661 1e-24
 380.27839661 1e-24
 381.27839661 1e-24
 382.27839661 1e-24
 383.27839661 1e-24
 384.27839661 1e-24
 385.27839661 1e-24
 386.27839661 1e-24
 387.27839661 1e-24
 388.27839661 1e-24
 389.27839661 1e-24
 390.27839661 1e-24
 391.27839661 1e-24
 392.27839661 1e-24
 393.27839661 1e-24
 394.27839661 1e-24
 395.27839661 1e-24
 396.27839661 1e-24
 397.27839661 1e-24
 398.27839661 1e-24
 399.27839661 1e-24
 400.27839661 1e-24
 401.27839661 1e-24
 402.27839661 1e-24
 403.27839661 1e-24
 404.27839661 1e-24
 405.27839661 1e-24
 406.27839661 1e-24
 407.27839661 1e-24
 408.27839661 1e-24
 409.27839661 1e-24
 410.27839661 1e-24
 411.27839661 1e-24
 412.27839661 1e-24
 413.27839661 1e-24
 414.27839661 1e-24
 415.27839661 1e-24
 416.27839661 1e-24
 417.27839661 1e-24
 418.27839661 1e-24
 419.27839661 1e-24
 420.27839661 1e-24
 421.27839661 1e-24
 422.27839661 1e-24
 423.27839661 1e-24
 424.27839661 1e-24
 425.27839661 1e-24
 426.27839661 1e-24
 427.27839661 1e-24
 428.27839661 1e-24
 429.27839661 1e-24
 430.27839661 1e-24
 431.27839661 1e-24
 432.27839661 1e-24
 433.27839661 1e-24
 434.27839661 1e-24
 435.27839661 1e-24
 436.27839661 1e-24
 437.27839661 1e-24
 438.27839661 1e-24
 439.27839661 1e-24
 440.27839661 1e-24
 441.27839661 1e-24
 442.27839661 1e-24
 443.27839661 1e-24
 444.27839661 1e-24
 445.27839661 1e-24
 446.27839661 1e-24
 447.27839661 1e-24
 448.27839661 1e-24
 449.27839661 1e-24
 450.27839661 1e-24
